X,Y,NAMOBJ,FCODE,LCODE,REMARK,SRS_ID,METADATA,LKALMT,TPLYST,KWKPKM_,KMPPKM_,JPLPKM_,PKMKODE_,PKMKAT_,PKMLMT_,layer,path,TIPRST,JPLYRS,ALAMAT,LUAS,TIPSHT,FSKADD,icon_url
123.174425187,-4.02093247499994,Polindes Mawa,,GI0020,Poliklinik/Polindes/Posyandu,,,,"1",,,,,,,LAYANANKESEHATAN_PT_50K,D:/Asus/Documents/Kuliah/KEPANITIAAN & ORGANISASI/DEKAT HIMPUNAN/HIMAGE/Kabinet EQUINOX/Big Event/GEOLYMPIC 2021/Final/DATA/Simeulue/KAB. KONAWE KEPULAUAN/LAYANANKESEHATAN_PT_50K.shp,,,,,,,./0.png
123.036997011,-4.01034202399995,Polindes Wawobili,,GI0020,Poliklinik/Polindes/Posyandu,,,,"1",,,,,,,LAYANANKESEHATAN_PT_50K,D:/Asus/Documents/Kuliah/KEPANITIAAN & ORGANISASI/DEKAT HIMPUNAN/HIMAGE/Kabinet EQUINOX/Big Event/GEOLYMPIC 2021/Final/DATA/Simeulue/KAB. KONAWE KEPULAUAN/LAYANANKESEHATAN_PT_50K.shp,,,,,,,./0.png
123.106980035,-4.02170696299993,Polindes Tombaone,,GI0020,Poliklinik/Polindes/Posyandu,,,,"1",,,,,,,LAYANANKESEHATAN_PT_50K,D:/Asus/Documents/Kuliah/KEPANITIAAN & ORGANISASI/DEKAT HIMPUNAN/HIMAGE/Kabinet EQUINOX/Big Event/GEOLYMPIC 2021/Final/DATA/Simeulue/KAB. KONAWE KEPULAUAN/LAYANANKESEHATAN_PT_50K.shp,,,,,,,./0.png
122.990396605,-4.02445009899998,Puskesmas Wawonii Barat,,GI0020,Puskesmas/Puskesmas Pembantu,,,,,"0","0","0",,"0",,PUSKESMAS_PT_50K,D:/Asus/Documents/Kuliah/KEPANITIAAN & ORGANISASI/DEKAT HIMPUNAN/HIMAGE/Kabinet EQUINOX/Big Event/GEOLYMPIC 2021/Final/DATA/Simeulue/KAB. KONAWE KEPULAUAN/PUSKESMAS_PT_50K.shp,,,,,,,./0.png
122.968095556,-4.13191709399996,Puskesmas Wawonii Tengah,,GI0020,Puskesmas/Puskesmas Pembantu,,,,,"0","0","0",,"0",,PUSKESMAS_PT_50K,D:/Asus/Documents/Kuliah/KEPANITIAAN & ORGANISASI/DEKAT HIMPUNAN/HIMAGE/Kabinet EQUINOX/Big Event/GEOLYMPIC 2021/Final/DATA/Simeulue/KAB. KONAWE KEPULAUAN/PUSKESMAS_PT_50K.shp,,,,,,,./0.png
123.009396997,-4.20283301799998,Puskesmas Bobolio,,GI0020,Puskesmas/Puskesmas Pembantu,,,,,"0","0","0",,"0",,PUSKESMAS_PT_50K,D:/Asus/Documents/Kuliah/KEPANITIAAN & ORGANISASI/DEKAT HIMPUNAN/HIMAGE/Kabinet EQUINOX/Big Event/GEOLYMPIC 2021/Final/DATA/Simeulue/KAB. KONAWE KEPULAUAN/PUSKESMAS_PT_50K.shp,,,,,,,./0.png
123.220384502,-4.02931328899996,Puskesmas Ladianta,,GI0020,Puskesmas/Puskesmas Pembantu,,,,,"0","0","0",,"0",,PUSKESMAS_PT_50K,D:/Asus/Documents/Kuliah/KEPANITIAAN & ORGANISASI/DEKAT HIMPUNAN/HIMAGE/Kabinet EQUINOX/Big Event/GEOLYMPIC 2021/Final/DATA/Simeulue/KAB. KONAWE KEPULAUAN/PUSKESMAS_PT_50K.shp,,,,,,,./0.png
123.14237304,-4.24829101199992,Puskesmas Pembantu Sainoaindah,,GI0020,Puskesmas/Puskesmas Pembantu,,,,,"0","0","0",,"0",,PUSKESMAS_PT_50K,D:/Asus/Documents/Kuliah/KEPANITIAAN & ORGANISASI/DEKAT HIMPUNAN/HIMAGE/Kabinet EQUINOX/Big Event/GEOLYMPIC 2021/Final/DATA/Simeulue/KAB. KONAWE KEPULAUAN/PUSKESMAS_PT_50K.shp,,,,,,,./0.png
123.250919441,-4.09796811599995,Puskesmas Wawonii Timur,,GI0020,Puskesmas/Puskesmas Pembantu,,,,,"0","0","0",,"0",,PUSKESMAS_PT_50K,D:/Asus/Documents/Kuliah/KEPANITIAAN & ORGANISASI/DEKAT HIMPUNAN/HIMAGE/Kabinet EQUINOX/Big Event/GEOLYMPIC 2021/Final/DATA/Simeulue/KAB. KONAWE KEPULAUAN/PUSKESMAS_PT_50K.shp,,,,,,,./0.png
102.263395983,1.49892199800007,Poskesdes Bantantengah,,GI0020,Puskesmas/Puskesmas Pembantu,,,,,"0","0","0",,"0",,,,,,,,,,./0.png
